train_speed,speed_limit,distance,braking_distance,signal_status,direction,risk_score,risk_level
110,120,1015,678,RED,EAST,30,MEDIUM
42,100,1816,698,YELLOW,SOUTH,10,SAFE
91,100,1264,677,RED,NORTH,30,MEDIUM
41,90,416,680,RED,NORTH,70,HIGH
54,80,1386,291,YELLOW,WEST,10,SAFE
64,120,1446,454,GREEN,SOUTH,0,SAFE
121,110,1266,472,GREEN,SOUTH,30,MEDIUM
61,110,1269,520,RED,SOUTH,30,MEDIUM
75,90,1454,498,RED,EAST,30,MEDIUM
41,120,794,455,RED,WEST,30,MEDIUM
57,80,427,780,RED,EAST,70,HIGH
51,120,1643,793,RED,WEST,30,MEDIUM
62,90,1362,147,GREEN,EAST,0,SAFE
110,120,1789,782,YELLOW,EAST,10,SAFE
82,80,1397,668,YELLOW,NORTH,40,MEDIUM
123,120,911,766,YELLOW,SOUTH,40,MEDIUM
80,110,896,409,YELLOW,NORTH,10,SAFE
67,120,281,704,RED,EAST,70,HIGH
72,100,302,533,RED,NORTH,70,HIGH
65,80,530,385,GREEN,NORTH,0,SAFE
91,110,1246,175,RED,SOUTH,30,MEDIUM
63,120,1441,458,RED,SOUTH,30,MEDIUM
40,80,1358,706,YELLOW,WEST,10,SAFE
58,80,1119,134,YELLOW,NORTH,10,SAFE
84,80,787,798,YELLOW,NORTH,80,HIGH
74,120,1272,775,GREEN,EAST,0,SAFE
119,80,1962,455,RED,EAST,60,MEDIUM
53,110,912,141,RED,NORTH,30,MEDIUM
118,120,454,517,YELLOW,SOUTH,50,MEDIUM
98,110,1938,724,RED,SOUTH,30,MEDIUM
67,90,596,566,RED,SOUTH,30,MEDIUM
97,110,109,247,YELLOW,NORTH,50,MEDIUM
51,90,635,721,YELLOW,EAST,50,MEDIUM
59,120,933,116,YELLOW,SOUTH,10,SAFE
119,90,1626,465,GREEN,SOUTH,30,MEDIUM
57,90,1856,323,RED,EAST,30,MEDIUM
98,90,1706,266,GREEN,WEST,30,MEDIUM
129,80,651,340,YELLOW,WEST,40,MEDIUM
76,80,1176,597,RED,WEST,30,MEDIUM
79,110,1642,529,RED,EAST,30,MEDIUM
43,90,1659,766,YELLOW,SOUTH,10,SAFE
103,90,1179,684,GREEN,WEST,30,MEDIUM
96,120,229,156,RED,SOUTH,30,MEDIUM
85,90,449,691,RED,WEST,70,HIGH
47,120,550,163,GREEN,NORTH,0,SAFE
90,80,960,793,GREEN,WEST,30,MEDIUM
95,120,1453,322,RED,SOUTH,30,MEDIUM
112,110,326,502,RED,NORTH,100,HIGH
60,90,852,495,RED,WEST,30,MEDIUM
99,80,916,255,GREEN,NORTH,30,MEDIUM
77,90,1283,771,YELLOW,SOUTH,10,SAFE
89,110,1866,385,GREEN,SOUTH,0,SAFE
102,100,1883,408,YELLOW,EAST,40,MEDIUM
128,120,1607,135,GREEN,WEST,30,MEDIUM
98,110,110,324,RED,WEST,70,HIGH
101,80,1770,718,RED,NORTH,60,MEDIUM
111,120,439,293,YELLOW,WEST,10,SAFE
42,80,306,741,RED,SOUTH,70,HIGH
42,110,610,789,GREEN,NORTH,40,MEDIUM
98,110,1294,517,GREEN,EAST,0,SAFE
85,120,1168,388,YELLOW,EAST,10,SAFE
124,120,1624,738,YELLOW,EAST,40,MEDIUM
57,110,1873,322,GREEN,WEST,0,SAFE
73,90,724,285,RED,SOUTH,30,MEDIUM
46,90,1927,639,RED,EAST,30,MEDIUM
44,120,1371,764,RED,WEST,30,MEDIUM
56,80,1585,377,YELLOW,WEST,10,SAFE
44,90,745,425,GREEN,EAST,0,SAFE
52,90,488,557,RED,NORTH,70,HIGH
126,100,547,348,RED,SOUTH,60,MEDIUM
101,90,1695,110,YELLOW,WEST,40,MEDIUM
64,120,1941,796,YELLOW,WEST,10,SAFE
71,80,790,133,YELLOW,SOUTH,10,SAFE
117,100,1647,589,YELLOW,NORTH,40,MEDIUM
78,120,642,442,RED,SOUTH,30,MEDIUM
130,120,1201,464,RED,NORTH,60,MEDIUM
56,100,837,240,RED,NORTH,30,MEDIUM
127,120,1357,639,YELLOW,WEST,40,MEDIUM
45,100,1921,317,GREEN,WEST,0,SAFE
128,110,1571,516,RED,WEST,60,MEDIUM
96,120,315,303,YELLOW,EAST,10,SAFE
70,90,511,448,GREEN,EAST,0,SAFE
109,120,1651,284,RED,WEST,30,MEDIUM
89,100,322,710,RED,NORTH,70,HIGH
91,110,1993,529,YELLOW,SOUTH,10,SAFE
74,80,379,330,GREEN,SOUTH,0,SAFE
49,80,951,313,RED,EAST,30,MEDIUM
84,110,1772,321,GREEN,NORTH,0,SAFE
117,80,899,345,RED,SOUTH,60,MEDIUM
102,90,900,318,RED,SOUTH,60,MEDIUM
100,80,1747,579,GREEN,EAST,30,MEDIUM
75,80,1573,736,GREEN,SOUTH,0,SAFE
48,120,602,666,GREEN,EAST,40,MEDIUM
103,120,1129,631,GREEN,WEST,0,SAFE
116,80,1311,575,YELLOW,NORTH,40,MEDIUM
96,80,1539,616,RED,NORTH,60,MEDIUM
50,80,801,695,RED,NORTH,30,MEDIUM
86,100,1371,357,RED,SOUTH,30,MEDIUM
56,90,1662,738,YELLOW,WEST,10,SAFE
64,80,978,550,GREEN,WEST,0,SAFE
103,120,1047,497,YELLOW,SOUTH,10,SAFE
78,120,872,220,YELLOW,NORTH,10,SAFE
75,80,790,164,RED,SOUTH,30,MEDIUM
71,100,1067,396,RED,NORTH,30,MEDIUM
122,80,1918,135,GREEN,WEST,30,MEDIUM
101,80,1877,264,GREEN,SOUTH,30,MEDIUM
46,110,1111,263,YELLOW,NORTH,10,SAFE
89,90,734,112,RED,SOUTH,30,MEDIUM
51,90,1037,453,YELLOW,WEST,10,SAFE
117,120,242,521,GREEN,SOUTH,40,MEDIUM
57,90,748,484,GREEN,WEST,0,SAFE
91,90,102,249,RED,EAST,100,HIGH
101,100,770,410,RED,NORTH,60,MEDIUM
71,80,733,745,RED,SOUTH,70,HIGH
70,80,689,592,RED,WEST,30,MEDIUM
44,100,764,612,YELLOW,WEST,10,SAFE
55,100,238,246,GREEN,EAST,40,MEDIUM
48,110,144,238,YELLOW,EAST,50,MEDIUM
76,120,1598,710,RED,WEST,30,MEDIUM
120,120,1435,709,GREEN,NORTH,0,SAFE
119,120,1865,394,YELLOW,SOUTH,10,SAFE
69,100,1140,160,GREEN,EAST,0,SAFE
65,100,1603,742,RED,NORTH,30,MEDIUM
47,100,424,560,RED,EAST,70,HIGH
103,120,1040,265,YELLOW,EAST,10,SAFE
70,100,288,504,RED,SOUTH,70,HIGH
87,110,1022,544,RED,SOUTH,30,MEDIUM
122,90,1002,629,YELLOW,WEST,40,MEDIUM
58,80,1766,715,GREEN,NORTH,0,SAFE
123,100,330,553,RED,EAST,100,HIGH
103,100,1714,716,RED,NORTH,60,MEDIUM
108,120,1579,766,RED,NORTH,30,MEDIUM
55,90,489,126,GREEN,WEST,0,SAFE
89,110,686,631,RED,SOUTH,30,MEDIUM
78,100,1991,655,GREEN,EAST,0,SAFE
128,120,338,658,RED,SOUTH,100,HIGH
73,120,1359,232,GREEN,EAST,0,SAFE
71,120,591,733,RED,SOUTH,70,HIGH
119,120,1990,675,YELLOW,SOUTH,10,SAFE
79,80,961,231,YELLOW,WEST,10,SAFE
86,120,527,356,YELLOW,SOUTH,10,SAFE
45,90,1043,609,GREEN,NORTH,0,SAFE
63,120,685,726,RED,SOUTH,70,HIGH
